5034010,4725147
5770889,5006673
4025155,5718664
5928229,5417687
5941876,4674499
5318570,4705500
5810764,5197963
5980517,5620481
5464467,4859217
5347179,5838177
3133891,4273698
5570960,3970992
3788036,4350500
4690695,5240472
4942556,5671229
5743871,4007742
4200861,5754679
4184510,4493698
5507857,5354346
4926241,5770889
5336166,4681559
4973339,5871564
4869238,5575753
4840647,5928407
4375220,5948011
4741326,5575752
3793281,4070312
5573854,4806407
3506583,4855331
5554769,4680377
4244513,5690835
3727769,5792227
5681282,4968314
5876426,5103804
4938218,5482034
4184510,4900302
4560394,5865877
5053990,5630093
5370675,5888198
5464392,4468222
5993370,4350283
5028787,5551422
5397222,4187057
4014321,5746217
5281253,4130403
4736748,5284775
5188632,4819632
2617493,5879431
5755974,4721575
5834799,3871014
5946441,4676231
4109643,5795292
5022564,5553741
5769926,5199962
5328503,4650501
4917084,5876426
4842584,4142524
5269777,4322164
5277201,5827273
5735938,4925461
5809160,3703628
4170987,4114604
5602987,4051354
3237377,4561865
3648685,5840029
5282799,5810810
5862373,3936762
5326343,4955377
5630787,5131537
5103804,4470407
3878836,5167235
5276184,4745136
4570638,4013067
4869254,5800349
3814081,4803992
5000664,4752289
4100129,4273698
5655127,5319771
4764846,5606717
5195959,5810764
5765184,5224070
3949740,5833367
4375427,5554769
4407290,5313941
5419310,4947827
3589363,6007513
5762609,5199431
5481731,5319771
4943290,5507744
5169412,5669959
5142930,4791934
4830013,3807390
5368558,4924863
4482347,5795328
4896260,5630146
5196004,4470407
3136310,4662368
4194890,3176444
4153783,4255488
5745604,4996530
4602642,5980451
4694143,5317492
5280788,4693244
5344454,4712553
4731426,4371689
5341240,5684629
5433770,5248322
5602226,4806407
5946244,5194765
5770889,5168346
5935553,5567765
5352436,5540909
2412397,5803712
4760840,5366456
5641422,3895436
4313431,4470407
4548907,5019350
5997528,4669466
5116396,4264340
5863286,4646722
5690805,5476580
5645744,3529458
4824242,5551422
5273524,5902264
3636679,4376639
5946419,5424783
5122164,5429666
4823812,5295955
3589363,5725570
5984904,4705500
3895311,5655127
4266549,4512762
4493698,5455766
4565200,5762626
4545610,5168346
4860374,5872870
4676258,5569241
5178142,4306877
5178603,5702357
5645744,3110961
5803712,4657486
5115087,5739256
5400283,5956502
5015272,4461630
5078136,5515847
5516010,5012813
5846218,5315998
4983159,5672174
4650469,5165873
5507855,5846291
5513327,5953284
5190517,5989275
4270532,5464392
4693244,5549600
4306877,5397411
4709701,5925042
5953284,4404474
5165046,5940608
4537561,5364342
5792239,5382280
5702504,3738087
4472551,3689454
3958560,5313941
5119817,4465069
4886431,5171301
4569335,5416634
5747789,5337745
4446014,5427695
4640820,4934369
4928695,4672961
4160651,4340398
5888052,4781548
5328503,4917710
4661125,4386945
5770222,5556610
5841978,5185736
3822695,4201222
5877238,5162409
5178142,4266554
5788671,5078683
3638640,5596987
4969935,5529611
3718236,5766147
5968060,2874470
4512762,5318024
3257902,5188092
5658250,5317506
3718236,4491250
4466946,4936887
5963480,5293560
3430418,5912422
4477264,5370728
5605673,5310540
5080098,4321930
5464404,5733277
5515847,4281645
5069686,4857078
5024785,5164464
4441206,5086478
4790858,4705541
5741226,4496342
5014212,4053735
5178603,4285464
5450363,5297148
4876728,5949901
5730779,5064446
5697367,4013067
5639382,4648866
5057081,4493706
4332255,4627832
5705574,4716212
5057106,5443470
5784175,5086477
5147353,4313431
5683366,5980504
6004316,5454809
4288583,5208306
3140933,5268023
5192453,5785868
5134311,5872736
5048525,4201222
5626563,3900022
3884228,4857048
4895164,5381796
5032148,3250080
4500181,5304173
5695450,4886049
4599094,5707425
5470946,4740584
3848798,5570960
4717397,4371380
4178917,4773097
4998933,5368591
5006119,5277201
4472116,4861242
5197470,5596992
4407290,4846183
5316667,5919154
5348554,5735846
4273109,5304173
5100380,5171301
4883353,5553615
5544118,4181980
5540909,4832941
